M4id,Frequency,Horizon,SP,StartingDate
Y11530,1,6,Yearly,01-01-87 12:00
Y11531,1,6,Yearly,01-01-87 12:00
Y11532,1,6,Yearly,01-01-87 12:00
Y11533,1,6,Yearly,01-01-87 12:00
Y11534,1,6,Yearly,01-01-87 12:00
Y11535,1,6,Yearly,01-01-87 12:00
Y11536,1,6,Yearly,01-01-87 12:00
Y11537,1,6,Yearly,01-01-87 12:00
Y11538,1,6,Yearly,01-01-87 12:00
Y11539,1,6,Yearly,01-01-87 12:00
Y11540,1,6,Yearly,01-01-87 12:00
Y11541,1,6,Yearly,01-01-87 12:00
Y11542,1,6,Yearly,01-01-87 12:00
Y11543,1,6,Yearly,01-01-87 12:00
Y11544,1,6,Yearly,01-01-87 12:00
Y11545,1,6,Yearly,01-01-87 12:00
Y11546,1,6,Yearly,01-01-87 12:00
Y11547,1,6,Yearly,01-01-87 12:00
Y11548,1,6,Yearly,01-01-87 12:00
Y11549,1,6,Yearly,01-01-87 12:00
Y11550,1,6,Yearly,01-01-87 12:00
Y11551,1,6,Yearly,01-01-87 12:00
Y11552,1,6,Yearly,01-01-87 12:00
Y11553,1,6,Yearly,01-01-87 12:00
Y11554,1,6,Yearly,01-01-87 12:00
Y11555,1,6,Yearly,01-01-87 12:00
Y11556,1,6,Yearly,01-01-87 12:00
Y11557,1,6,Yearly,01-01-87 12:00
Y11558,1,6,Yearly,01-01-87 12:00
Y11559,1,6,Yearly,01-01-87 12:00
Y11560,1,6,Yearly,01-01-87 12:00
Y11561,1,6,Yearly,01-01-87 12:00
Y11562,1,6,Yearly,01-01-87 12:00
Y11563,1,6,Yearly,01-01-87 12:00
Y11564,1,6,Yearly,01-01-87 12:00
Y11565,1,6,Yearly,01-01-87 12:00
Y11566,1,6,Yearly,01-01-87 12:00
Y11567,1,6,Yearly,01-01-87 12:00
Y11568,1,6,Yearly,01-01-87 12:00
Y11569,1,6,Yearly,01-01-87 12:00
Y11570,1,6,Yearly,01-01-87 12:00
Y11571,1,6,Yearly,01-01-87 12:00
Y11572,1,6,Yearly,01-01-87 12:00
Y11573,1,6,Yearly,01-01-87 12:00
Y11574,1,6,Yearly,01-01-87 12:00
Y11575,1,6,Yearly,01-01-87 12:00
Y11576,1,6,Yearly,01-01-87 12:00
Y11577,1,6,Yearly,01-01-87 12:00
Y11578,1,6,Yearly,01-01-87 12:00
Y11579,1,6,Yearly,01-01-87 12:00
