,low_freq_power,ps_entropy,ps_freqs.mean,ps_freqs.sd,ps_peaks.mean,ps_peaks.sd,ps_residuals.mean,ps_residuals.sd
0,(0.0026840797218418023+0j),,,,,,(1380.1116981950863+0j),(2630.019003191675+0j)
1,(0.005836893924660435+0j),0.7101505421955947,396.2839122503654,110.04260727559719,0.06382978723404255,0.24576020475855112,(81.29508269212603+0j),(124.63547902219352+0j)
2,(0.00597280527486571+0j),,,,,,(14.809389476351726+0j),(77.16464001107639+0j)
3,(0.00018824313889019795+0j),0.7150566093724123,28.721373096695757,5.6653340399696095,0.08771929824561403,0.2854008305615332,(6.969648306207881+0j),(8.934167634180083+0j)
4,(0.015615186584396363+0j),0.594264640209186,856.6475890378675,239.50898255056742,0.08771929824561403,0.2854008305615333,(126.66119674905426+0j),(267.262137787068+0j)
5,(0.10564142828835636+0j),0.7441557790753908,11.111184279177156,7.079835838614733,0.0024271844660194173,0.04926646390821465,(1.97917804534749+0j),(3.9478686924091906+0j)
6,(0.002069924615848192+0j),,,,,,(667.6187102158683+0j),(3557.9482756014877+0j)
7,(0.05570965023104418+0j),,,,,,(400.26478695267986+0j),(1165.6266151512743+0j)
8,(0.04220601028362123+0j),,,,,,(6.439016369894199+0j),(23.798112018706952+0j)
9,(0.029759763478844837+0j),,,,,,(39.26398595619193+0j),(209.35724340663012+0j)
10,(0.028110998641072034+0j),,,,,,(289.05305769738055+0j),(2856.5063899280226+0j)
11,(0.012450995026914923+0j),,,,,,(103.11448488791659+0j),(776.2820499786374+0j)
12,(0.2419797697143041+0j),0.40234573742347907,28648.11691566718,23430.17854790516,0.03508771929824561,0.18563715383027588,(3249.8338733010596+0j),(11242.617058830701+0j)
13,(0.23493768608403762+0j),0.4209761459320987,25904.15223452479,20767.285072267037,0.03508771929824561,0.18563715383027588,(2993.8972171420287+0j),(10075.751685084871+0j)
14,(0.0006682221406108878+0j),0.7819606476584867,168.37633027626907,79.08051534370617,0.01699029126213592,0.12939187692066936,(37.75772280601095+0j),(56.01385504029577+0j)
15,(0.002618120592949352+0j),0.7122935058632063,115.26987360939461,53.71462879565335,0.01948051948051948,0.138657391317768,(22.246897756466307+0j),(38.78142682212879+0j)
16,(0.009992306501117093+0j),,,,,,(6.7164679964220895+0j),(29.96947896798782+0j)
17,(0.009157228735555672+0j),,,,,,(5.101036939420933+0j),(21.709584831750284+0j)
18,(0.0023450804959034718+0j),,,,,,(8.179486054950083+0j),(25.592967630237354+0j)
19,(0.004397229450425376+0j),,,,,,(52.40610025852738+0j),(210.91219340284982+0j)
20,(0.006899057443854376+0j),,,,,,(6.999239653181319+0j),(27.073383805928863+0j)
21,(0.010439058215380022+0j),,,,,,(408.7901154955501+0j),(1959.7076015403711+0j)
22,(0.00022382789229608572+0j),0.6621945426434972,47.6336545558122,29.834442504494813,0.03508771929824561,0.18563715383027588,(9.11276991424903+0j),(16.659930434993463+0j)
23,(0.009231099524735782+0j),,,,,,(301.02122364835316+0j),(1365.5139718803375+0j)
24,(0.002749275411505297+0j),,,,,,(10.650508580408259+0j),(33.674900470135476+0j)
25,(0.010888565438153624+0j),0.5553851954115147,1280.7948636694564,493.47930196698684,0.07017543859649122,0.2577130964857056,(180.16099133253792+0j),(416.4837627335612+0j)
26,(0.007478987233880385+0j),,,,,,(10.630889110460744+0j),(44.48275219139793+0j)
27,(0.0038874626565296123+0j),,,,,,(134.107982741908+0j),(763.8820302143847+0j)
28,(0.0038873659213872766+0j),,,,,,(31.759167232840905+0j),(101.23679658202003+0j)
29,(0.00654259661170085+0j),,,,,,(10.069868605391724+0j),(31.681662387016917+0j)
30,(0.015008479674824143+0j),,,,,,(139.11606384637332+0j),(451.856908976904+0j)
31,(0.04517513075132685+0j),,,,,,(99.41879396437433+0j),(497.41651402778973+0j)
32,(0.005656732373021627+0j),,,,,,(10.511544764949537+0j),(49.886949471083824+0j)
33,(0.00731081987884673+0j),0.6251808899193022,438.97155339807415,236.49757119952994,0.03508771929824561,0.18563715383027588,(74.16068955138499+0j),(149.01495806615185+0j)
34,(0.14580128900132125+0j),,,,,,(2.8437155080901686+0j),(11.39313190378315+0j)
35,(0.0055120842351005775+0j),,,,,,(4.467269841096114+0j),(24.52187462898369+0j)
36,(0.0007545018000316112+0j),0.6987477175543518,0.8365400968759242,0.6562203994012037,0.006493506493506494,0.08058229640253804,(0.15076197671890415+0j),(0.3206051171433246+0j)
37,(0.0030152916844932553+0j),,,,,,(12.415721433720808+0j),(52.734434533268875+0j)
38,(0.2422958206209531+0j),0.5558280775342677,49.615063799765935,65.09999496234346,0.003816793893129771,0.061780206321521536,(6.091002615762621+0j),(25.34204346564129+0j)
39,(0.36792888727672285+0j),0.4033530922117955,2913.184743681228,5252.041070224869,0.007633587786259542,0.0872028687800862,(312.4797876967261+0j),(1878.3412540867728+0j)
40,(0.0019115340011724058+0j),,,,,,(163.95309439762522+0j),(683.2891111180337+0j)
41,(0.013556280973495543+0j),,,,,,(427.0787667763193+0j),(2134.3223875501844+0j)
42,(0.05372226067903302+0j),0.7063297168082185,24.771968482414888,15.829770695754346,0.016129032258064516,0.12617544212909043,(3.923089099620148+0j),(8.778321261244251+0j)
43,(0.042446599214204406+0j),,,,,,(51.06410422555188+0j),(272.58188288538935+0j)
44,(0.026676994157234662+0j),0.7289844149754785,3.9519160536399123,4.171329280940542,0.0064516129032258064,0.08019185680021695,(0.71554370906162+0j),(1.7264026980939935+0j)
45,(0.006628989558337308+0j),0.7029402809222075,5.686320167985332,2.66284067853814,0.017543859649122806,0.13245323570650436,(1.3449069514885477+0j),(1.9006843454541709+0j)
46,(0.2520852520095887+0j),0.44980080699012803,46.49021913735216,48.40878159708131,0.03508771929824561,0.18563715383027588,(5.827638136089994+0j),(20.21369964955152+0j)
47,(0.011071956721976901+0j),,,,,,(87.08143419009394+0j),(436.414860803723+0j)
48,(0.4896891442963609+0j),0.34105612992660506,30.604445184485638,53.40285495650389,0.012987012987012988,0.11358754574859593,(3.2709569527728894+0j),(19.152116113661982+0j)
49,(0.00019267293972570203+0j),0.7341927909139524,201.11202137704245,73.64047781178607,0.032467532467532464,0.17781650117268738,(42.768464821087015+0j),(65.23766693808476+0j)
50,(0.006004704987283351+0j),,,,,,(2.1214343416783215+0j),(5.867445554509018+0j)
51,(0.00015153334320602957+0j),,,,,,(61.05483991307914+0j),(174.75633764794563+0j)
52,(0.008189997363603471+0j),,,,,,(5.591882963007284+0j),(32.15064797239361+0j)
53,(0.0012865789941498445+0j),0.7262042640317645,17.3230162128255,11.054045978631226,0.0064516129032258064,0.08019185680021695,(3.0037351174659825+0j),(6.136135459125745+0j)
54,(0.09624456203517864+0j),0.4617997483145842,14298.423817834508,15925.018747172107,0.022727272727272728,0.1498867562775945,(1690.4554455902435+0j),(6464.615353650454+0j)
55,(0.11931383268634758+0j),0.5265241560591097,321709.89442612126,267473.583177893,0.022727272727272728,0.1498867562775945,(40310.593950112816+0j),(125589.15630606883+0j)
56,(0.026878185081749124+0j),0.7341021483779957,5324.025023683356,2065.2897138982426,0.03409090909090909,0.18250263020391777,(1142.8327347655984+0j),(1662.7374193487512+0j)
57,(0.00887097921523603+0j),0.6818191662191034,4179.213980202152,2293.9901599559466,0.022727272727272728,0.1498867562775945,(752.4801322704021+0j),(1407.3719291448476+0j)
58,(0.01764598877108811+0j),0.6287279059861263,721.7303746498087,434.4509554788411,0.045454545454545456,0.2094925949417383,(110.27072717026604+0j),(250.48333003744926+0j)
